icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,squawk,spi,position_source
ad5679,DAL1292 ,United States,1759789098,1759789098,-84.6475,34.9059,8221.98,FALSE,237.22,356.02,5.85,8694.42,3554,FALSE,0
471efb,WZZ3DM  ,Hungary,1759789098,1759789098,3.5172,39.763,2567.94,FALSE,150.48,255.35,-5.85,2781.3,1000,FALSE,0
a3a538,FFT3303 ,United States,1759789098,1759789098,-116.4671,34.086,8534.4,FALSE,217.33,262.66,0,8854.44,,FALSE,0
801659,AIC106  ,India,1759789097,1759789098,-0.4016,54.5309,11277.6,FALSE,275.91,108.37,-0.33,11696.7,1142,FALSE,0
471efe,WMT20QM ,Hungary,1759789097,1759789097,18.3126,43.7808,10622.28,FALSE,246.99,159.26,-5.2,10683.24,2116,FALSE,0
47887e,BNOR    ,Norway,1759789098,1759789098,18.3783,69.3619,4511.04,FALSE,94.73,219.05,7.8,4465.32,,FALSE,0
ae6321,BLZR270 ,United States,1759789098,1759789098,-98.2302,26.6884,3771.9,FALSE,155.04,278.59,-0.65,3962.4,5145,FALSE,0
471efc,WMT4MV  ,Hungary,1759789098,1759789098,16.3514,41.1841,10668,FALSE,243.82,95.21,0,10774.68,,FALSE,0
471efd,WZZ59GS ,Hungary,1759789098,1759789098,13.0861,43.0784,9555.48,FALSE,196.3,25.29,4.55,9761.22,1000,FALSE,0
ac3688,SWA1001 ,United States,1759789098,1759789098,-81.3711,32.3518,1409.7,FALSE,115.75,180,-8.13,1516.38,6247,FALSE,0
801667,AIC906  ,India,1759789098,1759789098,74.3151,16.752,11285.22,FALSE,224.04,122.81,0.33,11932.92,,FALSE,0
801666,AIC112  ,India,1759789098,1759789098,77.231,28.7448,1600.2,FALSE,134.27,110.17,-2.28,1577.34,,FALSE,0
51118a,MBU4QF  ,Estonia,1759789098,1759789098,2.7065,43.5986,11269.98,FALSE,249.84,175.28,0,11871.96,1125,FALSE,0
a34268,SKW4091 ,United States,1759789098,1759789098,-109.6608,34.1143,10668,FALSE,266.32,71.18,0.33,11109.96,,FALSE,0
aae374,        ,United States,1759789013,1759789013,-74.0666,40.8477,-83.82,FALSE,19.79,242.1,-2.6,-7.62,323,FALSE,0
80165c,AXB254  ,India,1759789097,1759789098,56.2126,25.3087,4152.9,FALSE,176.07,109.81,10.08,4366.26,3415,FALSE,0
adecb6,DAL606  ,United States,1759789098,1759789098,-87.6531,43.8699,10363.2,FALSE,207.98,291.17,0.33,10698.48,2267,FALSE,0
aae378,N800SL  ,United States,1759788824,1759788824,-82.0274,27.3947,1516.38,FALSE,60.33,176.09,0,1554.48,,FALSE,0
aae377,SKW4033 ,United States,1759789098,1759789098,-85.6025,34.8188,7322.82,FALSE,249.02,142.3,-0.98,7741.92,2067,FALSE,0
a1abfc,N20693  ,United States,1759789079,1759789079,-89.0497,44.2323,701.04,FALSE,52.85,211.06,0.98,670.56,,FALSE,0
ae6313,BLZR245 ,United States,1759789097,1759789098,-97.9954,27.0317,1257.3,FALSE,146.16,358.39,0,1295.4,,FALSE,0
a3689e,DAL303  ,United States,1759789098,1759789098,-89.6644,36.7355,10972.8,FALSE,202.8,235.02,0,11544.3,3506,FALSE,0
a3556f,JBU8602 ,United States,1759788991,1759789005,-74.0312,45.6771,,TRUE,0,98.44,,,,FALSE,0
ac1042,SWA1368 ,United States,1759789098,1759789098,-103.5481,39.2431,11277.6,FALSE,281.8,70.71,0,11643.36,7766,FALSE,0
a950cb,N7KP    ,United States,1759789098,1759789098,-98.7666,29.3172,1043.94,FALSE,61.62,292.07,-4.55,1059.18,,FALSE,0
801672,AIC2962 ,India,1759789098,1759789098,73.6436,16.1033,4800.6,FALSE,161.43,348.98,12.03,4983.48,,FALSE,0
abf025,SWA332  ,United States,1759789098,1759789098,-103.4843,31.4261,11422.38,FALSE,205.02,283.2,4.23,12054.84,4633,FALSE,0
7c1be8,VOZ9239 ,Australia,1759788944,1759788958,114.9279,-29.4675,4084.32,FALSE,170.8,343.91,-16.91,4236.72,4350,FALSE,0
a3b86c,DAL797  ,United States,1759789098,1759789098,-100.1596,30.388,9281.16,FALSE,233.07,286.68,6.5,9822.18,,FALSE,0
a4c527,RPA4715 ,United States,1759789094,1759789094,-73.8751,40.775,,TRUE,4.63,126.56,,,2732,FALSE,0
e8027a,LAN708  ,Chile,1759789098,1759789098,-58.0835,-25.6514,11277.6,FALSE,276.25,46.89,0,11917.68,,FALSE,0
ae630a,HAWK200 ,United States,1759788806,1759788806,-97.8036,27.5006,,TRUE,5.14,196.88,,,5165,FALSE,0
adda1e,AAL1368 ,United States,1759789098,1759789098,-78.575,28.0004,10668,FALSE,236.15,3.87,0,11277.6,,FALSE,0
adda1b,N992AK  ,United States,1759789095,1759789095,-154.4751,59.0309,2781.3,FALSE,114.97,51.54,-0.65,2659.38,,FALSE,0
a114a4,N169RR  ,United States,1759789098,1759789098,-82.8042,40.3346,2682.24,FALSE,100.77,73.69,0,2781.3,7303,FALSE,0
4acb45,SAS65G  ,Sweden,1759789098,1759789098,3.0351,54.0194,11285.22,FALSE,232.02,37.25,0,11719.56,5351,FALSE,0
a4b294,RPA4694 ,United States,1759789098,1759789098,-76.0901,38.0164,8702.04,FALSE,225.9,209.02,4.23,9159.24,,FALSE,0
a8a88b,WUP657  ,United States,1759789098,1759789098,-79.9818,26.9536,1242.06,FALSE,125.77,209.4,-4.23,1295.4,7024,FALSE,0
a7bbe9,,United States,1759789073,1759789073,-77.6758,28.9893,10972.8,FALSE,246.73,177.13,0,11605.26,,FALSE,0
adda23,DAL1347 ,United States,1759789098,1759789098,-89.4113,34.9536,8831.58,FALSE,258.5,100.55,0.65,9326.88,1604,FALSE,0
a9a215,KEN5050 ,United States,1759789098,1759789098,-122.2915,47.8497,426.72,FALSE,55.15,75.96,-3.25,472.44,,FALSE,0
accd69,DAL1233 ,United States,1759789094,1759789094,-73.7927,40.6388,,TRUE,0,300.94,,,,FALSE,0
e8020d,LAN714  ,Chile,1759788858,1759788915,-52.7518,-25.3114,12489.18,FALSE,266.64,72.02,-0.33,13174.98,,FALSE,0
a7cefc,N602DD  ,United States,1759788915,1759788915,-81.6114,28.0398,1501.14,FALSE,43.01,83.13,0.33,1554.48,,FALSE,0
3455d5,IBE0169 ,Spain,1759789098,1759789098,-3.5741,40.5519,952.5,FALSE,97.3,2.12,10.4,1120.14,,FALSE,0
0d11cc,VIV9066 ,Mexico,1759788883,1759788883,-106.5003,31.5585,1668.78,FALSE,105.01,38.84,-5.53,1706.88,,FALSE,0
aa8051,N776LF  ,United States,1759789098,1759789098,-122.7093,45.5181,441.96,FALSE,61.24,211.95,5.2,487.68,,FALSE,0
a9520b,N7YJ    ,United States,1759788888,1759788888,-80.9911,28.4819,304.8,FALSE,60.05,295.91,0.33,304.8,,FALSE,0
a9653d,AAL2738 ,United States,1759789097,1759789098,-79.5601,33.8862,10058.4,FALSE,238.51,52.54,0,10629.9,1633,FALSE,0
4bc8cb,PGT746  ,Turkey,1759789098,1759789098,50.1922,27.9163,10668,FALSE,243.99,146.18,0,11376.66,1053,FALSE,0
4bc8cc,PGT29TR ,Turkey,1759789098,1759789098,10.4343,52.0168,4069.08,FALSE,158.12,331.85,-10.08,4236.72,1000,FALSE,0
aded77,JBU574  ,United States,1759789098,1759789098,-68.4227,40.0973,9753.6,FALSE,247.77,329.97,0,10187.94,,FALSE,0
e48be3,TAM4629 ,Brazil,1759789098,1759789098,-47.845,-23.8077,9334.5,FALSE,226.12,30.94,-11.05,9921.24,,FALSE,0
ad41cd,SWA4301 ,United States,1759789098,1759789098,-116.9281,34.4613,7315.2,FALSE,208.02,295.49,0.98,7581.9,,FALSE,0
ad41ed,AAL1760 ,United States,1759789098,1759789098,-83.0616,30.9585,9601.2,FALSE,243.55,110.66,-5.2,10172.7,2340,FALSE,0
a15d0c,N1870G  ,United States,1759789098,1759789098,-104.7204,40.4597,5204.46,FALSE,173.27,72.37,13.33,5349.24,3217,FALSE,0
e8022a,LPE2479 ,Chile,1759788803,1759788803,-95.5191,16.6387,10675.62,FALSE,242.12,131.04,0.33,11338.56,,FALSE,0
a34291,,United States,,1759789057,,,,FALSE,236.05,9.91,8.78,,,FALSE,0
a7126b,N555EJ  ,United States,1759789098,1759789098,-70.8969,43.0654,2385.06,FALSE,136.15,257.12,-5.53,2522.22,,FALSE,0
46b82d,AEE609  ,Greece,1759789098,1759789098,2.3661,50.9219,9197.34,FALSE,257.88,114.26,5.2,9685.02,536,FALSE,0
46b82b,AEE823  ,Greece,1759789098,1759789098,22.1288,39.5704,10370.82,FALSE,226.28,142.3,-4.88,10507.98,6020,FALSE,0
3c5eeb,EWG607  ,Germany,1759789098,1759789098,1.5815,48.4101,10972.8,FALSE,231.75,45.99,0,11506.2,2236,FALSE,0
e80244,LPE9965 ,Chile,1759788905,1759788905,-71.6035,-33.5834,9083.04,FALSE,207.64,335.4,10.08,9235.44,1440,FALSE,0
a3428e,AAL1051 ,United States,1759789096,1759789098,-84.4413,33.6418,,TRUE,0.9,315,,,,FALSE,0
a5d28c,UAL2321 ,United States,1759789098,1759789098,-77.4572,39.1131,807.72,FALSE,108.56,180.81,-4.88,891.54,2550,FALSE,0
a8a87e,UAL928  ,United States,1759788847,1759789087,-87.8776,41.9883,251.46,FALSE,11.32,90,,251.46,705,FALSE,0
ada4e2,N9788W  ,United States,1759789098,1759789098,-116.8427,33.4704,2324.1,FALSE,46.43,99.57,-1.3,2331.72,,FALSE,0
ad6900,N963TM  ,United States,1759789098,1759789098,-122.2982,48.1038,1775.46,FALSE,88.5,211.93,-2.6,1836.42,,FALSE,0
c0220d,WJA2930 ,Canada,1759789097,1759789097,-79.7355,23.9371,8839.2,FALSE,217.18,236.99,0.33,9372.6,,FALSE,0
46b830,AEE91L  ,Greece,1759789098,1759789098,28.3846,36.2627,10668,FALSE,253.31,107.74,0,11148.06,7426,FALSE,0
a9c834,N7296Q  ,United States,1759789058,1759789093,-97.721,33.4776,3078.48,FALSE,55.65,340.56,-1.95,3124.2,7411,FALSE,0
ac491d,DAL1687 ,United States,1759789098,1759789098,-79.8724,36.1033,9448.8,FALSE,247.98,56.51,0,9997.44,3526,FALSE,0
440201,TAY1LA  ,Austria,1759789098,1759789098,4.9468,47.6285,11582.4,FALSE,211.05,318.66,0,12092.94,1000,FALSE,0
a15d85,N1875A  ,United States,1759789098,1759789098,-70.5113,43.9224,13106.4,FALSE,244.43,245.11,0.33,13540.74,2451,FALSE,0
a101c3,AAL2091 ,United States,1759789098,1759789098,-83.6268,33.8929,10347.96,FALSE,233.86,236.03,0,10942.32,2123,FALSE,0
a26a0d,N25497  ,United States,1759788933,1759789098,-96.8673,33.4156,7284.72,FALSE,39.37,353.25,-0.33,7284.72,1460,FALSE,0
a5958c,SWA2912 ,United States,1759789098,1759789098,-73.6711,39.9977,9144,FALSE,243.78,219.43,0,9601.2,1335,FALSE,0
a5f87d,N484LP  ,United States,1759789098,1759789098,-112.4425,33.1339,2324.1,FALSE,42.56,82.36,0,2369.82,,FALSE,0
a1ad44,AAY1868 ,United States,1759789098,1759789098,-81.5918,29.4682,7421.88,FALSE,220.4,352.76,11.7,7848.6,,FALSE,0
46b822,AEE7PT  ,Greece,1759789098,1759789098,-9.1002,38.848,403.86,FALSE,67.55,202.85,-3.25,556.26,2025,FALSE,0
aa099e,JBU696  ,United States,1759789098,1759789098,-82.6844,34.093,8183.88,FALSE,241.12,63.93,4.23,8663.94,3532,FALSE,0
a0f4b5,DAL244  ,United States,1759789097,1759789098,-65.6625,45.8982,10066.02,FALSE,252.98,47.06,0,10477.5,3075,FALSE,0
a40d09,N360HP  ,United States,1759789098,1759789098,149.8039,-34.5588,7414.26,FALSE,223,62.08,-9.75,7642.86,3743,FALSE,0
4cc2a3,ICE664  ,Iceland,1759789098,1759789098,-122.6004,45.5958,,TRUE,4.89,30.94,,,,FALSE,0
851958,JAL641  ,Japan,1759789098,1759789098,136.9418,34.3617,12184.38,FALSE,220.97,245.22,0,12999.72,4763,FALSE,0
aaf617,SCX172  ,United States,1759789058,1759789058,-115.1554,36.0915,,TRUE,7.72,205.31,,,,FALSE,0
440224,EJU52YK ,Austria,1759788834,1759788843,-9.0989,38.8504,419.1,FALSE,70.8,202.65,-3.9,548.64,3770,FALSE,0
a85887,JBU1501 ,United States,1759789098,1759789098,-80.5748,32.0326,10980.42,FALSE,241.43,208.09,-0.33,11597.64,1502,FALSE,0
a39d11,UCA4303 ,United States,1759789098,1759789098,-76.1124,39.1648,6096,FALSE,205.89,81.67,3.58,6431.28,,FALSE,0
ac8fb6,N9083S  ,United States,1759789098,1759789098,-102.4574,44.7872,2987.04,FALSE,90.67,353.16,0,3025.14,,FALSE,0
a6aefe,N53KJ   ,United States,1759789098,1759789098,-111.701,33.8913,2171.7,FALSE,129.72,145.18,0.33,2194.56,4026,FALSE,0
a8a847,RPA4375 ,United States,1759789098,1759789098,-76.3347,37.1013,3223.26,FALSE,158.68,309.21,7.8,3413.76,,FALSE,0
c02238,CFMYX   ,Canada,1759789097,1759789097,-125.5666,50.1227,845.82,FALSE,76.4,43.91,-0.33,899.16,,FALSE,0
c02237,CFMYW   ,Canada,1759789098,1759789098,-80.4931,46.9983,2072.64,FALSE,70.17,323.05,9.75,2065.02,,FALSE,0
e80209,LPE2053 ,Chile,1759789098,1759789098,-79.147,-8.6063,10972.8,FALSE,232.24,336.5,0,11650.98,,FALSE,0
e80204,ARE4403 ,Chile,1759788933,1759788933,-79.2102,22.9132,10668,FALSE,243.52,163.56,0,11330.94,,FALSE,0
a7bbb2,LXJ598  ,United States,1759789094,1759789094,-74.165,40.7018,,TRUE,10.8,275.62,,,1466,FALSE,0
c0482a,ROU1641 ,Canada,1759789098,1759789098,-78.0374,33.0317,10675.62,FALSE,232.78,10.44,-0.33,11247.12,,FALSE,0
a3ed69,DAL2232 ,United States,1759789098,1759789098,-93.9973,31.669,10675.62,FALSE,247.06,43.73,-0.33,11323.32,7411,FALSE,0
ab5d39,N831MW  ,United States,1759789037,1759789037,-106.6805,31.8727,1318.26,FALSE,60.47,291.98,-3.58,1303.02,4220,FALSE,0
a4d7dc,AVA9790 ,United States,1759789098,1759789098,-73.7677,5.9736,8244.84,FALSE,229.53,11.64,1.95,8740.14,,FALSE,0
ab14b4,AUB139  ,United States,1759789098,1759789098,-85.5181,32.6461,594.36,FALSE,51.88,112.75,-3.25,624.84,,FALSE,0
7cf9f0,,Australia,1759788973,1759788976,147.2234,-37.7432,3352.8,FALSE,123.89,48.37,10.08,,,FALSE,0
a14a6b,N182ZT  ,United States,1759789098,1759789098,-122.7839,44.7207,2118.36,FALSE,42.97,31.79,0.33,2186.94,,FALSE,0
a3ed5a,N352MM  ,United States,1759789090,1759789090,-75.7103,37.9303,2194.56,FALSE,81.41,20.73,0,2324.1,,FALSE,0
c03517,WJA1427 ,Canada,1759789098,1759789098,-87.1018,36.3342,4114.8,FALSE,189.22,340.63,8.78,4305.3,1303,FALSE,0
885226,THA346  ,Thailand,1759789098,1759789098,97.9064,14.6315,12192,FALSE,12.27,213.02,-0.33,11231.88,4544,FALSE,0
a00915,N101GV  ,United States,1759789025,1759789052,-116.5276,43.288,1615.44,FALSE,53.41,324.01,-1.3,1691.64,,FALSE,0
7c1c51,AL860   ,Australia,1759789098,1759789098,116.2754,-31.8682,3238.5,FALSE,103.1,37.5,4.55,3322.32,3717,FALSE,0
e49ec9,AZU2887 ,Brazil,1759788773,1759789097,-48.6688,-27.9858,11582.4,FALSE,211.44,246.18,0,12199.62,,FALSE,0
885224,THA670  ,Thailand,1759789098,1759789098,136.8811,37.148,12496.8,FALSE,265.67,52.55,0,13251.18,742,FALSE,0
8014b0,IGO1244 ,India,1759789097,1759789097,52.7069,26.3902,10668,FALSE,236.81,110.21,0,11361.42,1461,FALSE,0
885223,THA935  ,Thailand,1759789098,1759789098,99.734,14.5446,6888.48,FALSE,234.69,113.92,-11.7,7292.34,115,FALSE,0
c0481c,ROU1606 ,Canada,1759789097,1759789097,-80.5655,30.393,10980.42,FALSE,248.95,185.1,0.33,11612.88,6511,FALSE,0
a2cd4f,N28TD   ,United States,1759788958,1759788958,-74.2582,40.8799,106.68,FALSE,48.91,255.38,-1.95,160.02,1200,FALSE,0
accd13,AAL2046 ,United States,1759789098,1759789098,-108.3817,32.1833,9144,FALSE,176.69,276.86,0,9593.58,7350,TRUE,0
4aca81,NSZ2887 ,Sweden,1759789098,1759789098,21.6084,60.1049,9982.2,FALSE,219.85,75.64,-11.05,10020.3,2343,FALSE,0
a3a4ed,,United States,1759789092,1759789092,-113.5644,37.993,9448.8,FALSE,243.73,139.45,0.33,9745.98,,FALSE,0
4aca84,NSZ2953 ,Sweden,1759787523,1759789098,22.8598,52.214,11887.2,FALSE,229.79,9.15,-0.33,,4516,FALSE,0
4aca87,NSZ2805 ,Sweden,1759784474,1759789098,20.4622,51.7517,3063.24,FALSE,225.07,30.49,0,11932.92,424,FALSE,0
8a047a,GIA894  ,Indonesia,1759788946,1759788948,120.0617,26.7945,11917.68,FALSE,259.9,32.31,0,12702.54,,FALSE,0
a724c4,N56CA   ,United States,1759789098,1759789098,-108.6662,37.9014,12496.8,FALSE,302.91,66.26,0.33,12893.04,,FALSE,0
a091f3,EDV5534 ,United States,1759789098,1759789098,-84.0779,35.8433,1173.48,FALSE,135.55,353.9,10.73,1257.3,,FALSE,0
e07583,,Argentina,1759789098,1759789098,-58.4102,-34.5598,,TRUE,0.51,36.56,,,,FALSE,0
a0f4f6,DAL939  ,United States,1759789098,1759789098,-98.4004,40.6203,11887.2,FALSE,282.48,70.31,0,12222.48,6735,FALSE,0
ab5d4a,AAL3031 ,United States,1759789098,1759789098,-84.7281,38.141,10363.2,FALSE,238.78,1.48,0,10881.36,1011,FALSE,0
ab14d9,DAL1913 ,United States,1759789098,1759789098,-81.1993,39.141,10363.2,FALSE,235.89,336.34,0.33,10881.36,5225,FALSE,0
4aca90,NSZ3733 ,Sweden,1759788806,1759788809,12.6274,55.5995,0,FALSE,77.67,40.97,-4.23,91.44,7364,FALSE,0
a2cd45,,United States,1759789090,1759789097,-75.5865,39.1887,518.16,FALSE,51.44,171.95,7.15,601.98,,FALSE,0
ab5d62,N831PM  ,United States,1759789097,1759789097,-73.1396,41.4066,1287.78,FALSE,52.79,232.13,0,1356.36,7015,FALSE,0
c81d8e,ANZ531  ,New Zealand,1759789098,1759789098,172.5375,-43.0294,3337.56,FALSE,153,196.61,-3.58,3208.02,,FALSE,0
a234ef,ENY3489 ,United States,1759789097,1759789098,-100.1255,33.3206,7315.2,FALSE,199.66,284.93,0.33,7696.2,6366,FALSE,0
c0483e,CGBJH   ,Canada,1759789098,1759789098,-111.7515,37.3451,12496.8,FALSE,252.45,13.07,0,12900.66,,FALSE,0
aaf4d3,N805DZ  ,United States,1759789098,1759789098,-121.892,38.5712,2103.12,FALSE,83.89,178.24,-21.13,2087.88,,FALSE,0
4aca8c,NSZ4354 ,Sweden,1759789098,1759789098,18.0133,59.5016,3063.24,FALSE,151.64,17.57,-2.93,3116.58,3135,FALSE,0
ac47de,SWA293  ,United States,1759789098,1759789098,-81.8928,27.4072,6515.1,FALSE,214.48,329.44,-9.1,6903.72,,FALSE,0
a1ad5a,SKW5294 ,United States,1759789071,1759789071,-105.6061,42.3834,6225.54,FALSE,190.86,342.59,-10.08,6355.08,5113,FALSE,0
ab01b8,JAS87   ,United States,1759789098,1759789098,-122.556,37.661,2484.12,FALSE,147.25,250.62,20.16,2529.84,,FALSE,0
a857c7,N637AK  ,United States,1759789098,1759789098,-150.0828,62.3261,228.6,FALSE,25.72,286.26,-1.3,152.4,,FALSE,0
a4c4f1,N406WT  ,United States,1759789098,1759789098,-123.0818,47.3447,723.9,FALSE,65.15,68.7,0,784.86,,FALSE,0
8.01E+09,AKJ572  ,India,1759789038,1759789044,56.9302,24.9361,10668,FALSE,241.32,112.3,0,11346.18,1457,FALSE,0
a26a9c,N255FP  ,United States,1759789098,1759789098,-86.7712,36.3441,9540.24,FALSE,280.66,24.36,9.1,10073.64,,FALSE,0
